Product Handle,Product Title,Product Collection Id,Product Collection Title,Product Type Id,Product Type Value,Product Tag 1,Product Tag 2,Parent Category Id,Parent Category Name,Parent Category Handle,Category Id,Category Name,Category Handle
summer-beats-festival-2026,Summer Beats Festival 2026,pcol_selfkart_ticket_live-entertainment,Live Entertainment,ptyp_selfkart_ticket_music-festivals,Music Festivals,ticket-live-entertainment,digital-ticket,pcat_selfkart_ticket_live-entertainment,Live Entertainment,tickets-live-entertainment,pcat_selfkart_ticket_live-entertainment_music-festivals,Music Festivals,tickets-live-entertainment-music-festivals
jazz-under-stars,Jazz Under the Stars,pcol_selfkart_ticket_live-entertainment,Live Entertainment,ptyp_selfkart_ticket_concerts,Concerts,ticket-live-entertainment,digital-ticket,pcat_selfkart_ticket_live-entertainment,Live Entertainment,tickets-live-entertainment,pcat_selfkart_ticket_live-entertainment_concerts,Concerts,tickets-live-entertainment-concerts
electronic-night-vol1,Electronic Music Night Vol.1,pcol_selfkart_ticket_live-entertainment,Live Entertainment,ptyp_selfkart_ticket_concerts,Concerts,ticket-live-entertainment,digital-ticket,pcat_selfkart_ticket_live-entertainment,Live Entertainment,tickets-live-entertainment,pcat_selfkart_ticket_live-entertainment_concerts,Concerts,tickets-live-entertainment-concerts
indie-rock-showcase,Indie Rock Showcase,pcol_selfkart_ticket_live-entertainment,Live Entertainment,ptyp_selfkart_ticket_concerts,Concerts,ticket-live-entertainment,digital-ticket,pcat_selfkart_ticket_live-entertainment,Live Entertainment,tickets-live-entertainment,pcat_selfkart_ticket_live-entertainment_concerts,Concerts,tickets-live-entertainment-concerts
classical-symphony-eve,Classical Evening — Symphony Hall,pcol_selfkart_ticket_live-entertainment,Live Entertainment,ptyp_selfkart_ticket_concerts,Concerts,ticket-live-entertainment,digital-ticket,pcat_selfkart_ticket_live-entertainment,Live Entertainment,tickets-live-entertainment,pcat_selfkart_ticket_live-entertainment_concerts,Concerts,tickets-live-entertainment-concerts
hip-hop-cypher-champs,Hip-Hop Cypher Championships,pcol_selfkart_ticket_events,Events,ptyp_selfkart_ticket_events,Events,ticket-events,digital-ticket,pcat_selfkart_ticket_events,Events,tickets-events,pcat_selfkart_ticket_events_events,Events,tickets-events-events
pop-icons-reunion-tour,Pop Icons Reunion Tour,pcol_selfkart_ticket_live-entertainment,Live Entertainment,ptyp_selfkart_ticket_concerts,Concerts,ticket-live-entertainment,digital-ticket,pcat_selfkart_ticket_live-entertainment,Live Entertainment,tickets-live-entertainment,pcat_selfkart_ticket_live-entertainment_concerts,Concerts,tickets-live-entertainment-concerts
underground-edm-rave,Underground EDM Rave,pcol_selfkart_ticket_arts-experiences,Arts Experiences,ptyp_selfkart_ticket_art-culture,Art Culture,ticket-arts-experiences,digital-ticket,pcat_selfkart_ticket_arts-experiences,Arts Experiences,tickets-arts-experiences,pcat_selfkart_ticket_arts-experiences_art-culture,Art Culture,tickets-arts-experiences-art-culture
acoustic-sessions-live,Acoustic Sessions Live,pcol_selfkart_ticket_events,Events,ptyp_selfkart_ticket_events,Events,ticket-events,digital-ticket,pcat_selfkart_ticket_events,Events,tickets-events,pcat_selfkart_ticket_events_events,Events,tickets-events-events
world-music-carnival,World Music Carnival,pcol_selfkart_ticket_live-entertainment,Live Entertainment,ptyp_selfkart_ticket_concerts,Concerts,ticket-live-entertainment,digital-ticket,pcat_selfkart_ticket_live-entertainment,Live Entertainment,tickets-live-entertainment,pcat_selfkart_ticket_live-entertainment_concerts,Concerts,tickets-live-entertainment-concerts
ai-commerce-forum-2026,AI and Commerce Forum 2026,pcol_selfkart_ticket_conferences-workshops,Conferences Workshops,ptyp_selfkart_ticket_conferences,Conferences,ticket-conferences-workshops,digital-ticket,pcat_selfkart_ticket_conferences-workshops,Conferences Workshops,tickets-conferences-workshops,pcat_selfkart_ticket_conferences-workshops_conferences,Conferences,tickets-conferences-workshops-conferences
web3-dev-conference,Web3 Developer Conference,pcol_selfkart_ticket_conferences-workshops,Conferences Workshops,ptyp_selfkart_ticket_conferences,Conferences,ticket-conferences-workshops,digital-ticket,pcat_selfkart_ticket_conferences-workshops,Conferences Workshops,tickets-conferences-workshops,pcat_selfkart_ticket_conferences-workshops_conferences,Conferences,tickets-conferences-workshops-conferences
ecommerce-growth-summit,E-Commerce Growth Summit,pcol_selfkart_ticket_conferences-workshops,Conferences Workshops,ptyp_selfkart_ticket_conferences,Conferences,ticket-conferences-workshops,digital-ticket,pcat_selfkart_ticket_conferences-workshops,Conferences Workshops,tickets-conferences-workshops,pcat_selfkart_ticket_conferences-workshops_conferences,Conferences,tickets-conferences-workshops-conferences
product-design-sprint,Product Design Sprint Workshop,pcol_selfkart_ticket_conferences-workshops,Conferences Workshops,ptyp_selfkart_ticket_workshops,Workshops,ticket-conferences-workshops,digital-ticket,pcat_selfkart_ticket_conferences-workshops,Conferences Workshops,tickets-conferences-workshops,pcat_selfkart_ticket_conferences-workshops_workshops,Workshops,tickets-conferences-workshops-workshops
devops-cloud-bootcamp,DevOps and Cloud Bootcamp,pcol_selfkart_ticket_conferences-workshops,Conferences Workshops,ptyp_selfkart_ticket_workshops,Workshops,ticket-conferences-workshops,digital-ticket,pcat_selfkart_ticket_conferences-workshops,Conferences Workshops,tickets-conferences-workshops,pcat_selfkart_ticket_conferences-workshops_workshops,Workshops,tickets-conferences-workshops-workshops
startup-pitch-night,Startup Pitch Night,pcol_selfkart_ticket_conferences-workshops,Conferences Workshops,ptyp_selfkart_ticket_art-culture,Art Culture,ticket-conferences-workshops,digital-ticket,pcat_selfkart_ticket_conferences-workshops,Conferences Workshops,tickets-conferences-workshops,pcat_selfkart_ticket_conferences-workshops_art-culture,Art Culture,tickets-conferences-workshops-art-culture
vc-networking-mixer,VC Networking Mixer,pcol_selfkart_ticket_conferences-workshops,Conferences Workshops,ptyp_selfkart_ticket_conferences-workshops,Conferences Workshops,ticket-conferences-workshops,digital-ticket,pcat_selfkart_ticket_conferences-workshops,Conferences Workshops,tickets-conferences-workshops,pcat_selfkart_ticket_conferences-workshops_conferences-workshops,Conferences Workshops,tickets-conferences-workshops-conferences-workshops
ux-research-workshop,UX Research Methods Workshop,pcol_selfkart_ticket_conferences-workshops,Conferences Workshops,ptyp_selfkart_ticket_workshops,Workshops,ticket-conferences-workshops,digital-ticket,pcat_selfkart_ticket_conferences-workshops,Conferences Workshops,tickets-conferences-workshops,pcat_selfkart_ticket_conferences-workshops_workshops,Workshops,tickets-conferences-workshops-workshops
data-science-hackathon,Data Science Hackathon,pcol_selfkart_ticket_events,Events,ptyp_selfkart_ticket_events,Events,ticket-events,digital-ticket,pcat_selfkart_ticket_events,Events,tickets-events,pcat_selfkart_ticket_events_events,Events,tickets-events-events
cybersecurity-summit-2026,Cybersecurity Summit 2026,pcol_selfkart_ticket_conferences-workshops,Conferences Workshops,ptyp_selfkart_ticket_conferences,Conferences,ticket-conferences-workshops,digital-ticket,pcat_selfkart_ticket_conferences-workshops,Conferences Workshops,tickets-conferences-workshops,pcat_selfkart_ticket_conferences-workshops_conferences,Conferences,tickets-conferences-workshops-conferences
marathon-city-run-2026,Marathon City Run 2026,pcol_selfkart_ticket_sports-fitness,Sports Fitness,ptyp_selfkart_ticket_runs-marathons,Runs Marathons,ticket-sports-fitness,digital-ticket,pcat_selfkart_ticket_sports-fitness,Sports Fitness,tickets-sports-fitness,pcat_selfkart_ticket_sports-fitness_runs-marathons,Runs Marathons,tickets-sports-fitness-runs-marathons
yoga-wellness-retreat,Yoga and Wellness Retreat,pcol_selfkart_ticket_sports-fitness,Sports Fitness,ptyp_selfkart_ticket_fitness,Fitness,ticket-sports-fitness,digital-ticket,pcat_selfkart_ticket_sports-fitness,Sports Fitness,tickets-sports-fitness,pcat_selfkart_ticket_sports-fitness_fitness,Fitness,tickets-sports-fitness-fitness
crossfit-open-champs,CrossFit Open Championship,pcol_selfkart_ticket_conferences-workshops,Conferences Workshops,ptyp_selfkart_ticket_fitness,Fitness,ticket-conferences-workshops,digital-ticket,pcat_selfkart_ticket_conferences-workshops,Conferences Workshops,tickets-conferences-workshops,pcat_selfkart_ticket_conferences-workshops_fitness,Fitness,tickets-conferences-workshops-fitness
