Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Price INR,Variant Price AED,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,kids-rainbow-pocket-tee,Kids Rainbow Pocket Tee,Kids / Graphic T-Shirts,"Soft cotton everyday tee with a rainbow pocket print, built for play days and easy washing.",published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Rainbow%20Pocket%20Tee%20front,300,,,,,in,,Cotton Jersey,,,,,Kids,TRUE,selfkart-cloth-001,,2-3Y,KID-001-23Y,,FALSE,TRUE,300,,,,,in,,Cotton Jersey,14,16,1260,59,Size,2-3Y,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Rainbow%20Pocket%20Tee%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Kids%20Rainbow%20Pocket%20Tee%20back
,kids-dino-adventure-tee,Kids Dino Adventure Tee,Kids / Graphic T-Shirts,"Breathable crew-neck tee with a playful dinosaur print for school, park, and weekend wear.",published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Dino%20Adventure%20Tee%20front,300,,,,,in,,Cotton Jersey,,,,,Kids,TRUE,selfkart-cloth-002,,3-4Y,KID-002-34Y,,FALSE,TRUE,300,,,,,in,,Cotton Jersey,15,17,1350,62,Size,3-4Y,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Dino%20Adventure%20Tee%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Kids%20Dino%20Adventure%20Tee%20back
,kids-starry-night-pajama-set,Kids Starry Night Pajama Set,Kids / Sleepwear,Two-piece pajama set in soft cotton with a star pattern and relaxed bedtime fit.,published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Starry%20Night%20Pajama%20Set%20front,300,,,,,in,,Cotton Knit,,,,,Kids,TRUE,selfkart-cloth-003,,4-5Y,KID-003-45Y,,FALSE,TRUE,300,,,,,in,,Cotton Knit,22,25,1980,92,Size,4-5Y,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Starry%20Night%20Pajama%20Set%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Kids%20Starry%20Night%20Pajama%20Set%20back
,kids-cozy-fleece-hoodie,Kids Cozy Fleece Hoodie,Kids / Hoodies,"Warm fleece hoodie with rib cuffs, kangaroo pocket, and a comfortable regular fit.",published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Cozy%20Fleece%20Hoodie%20front,300,,,,,in,,Cotton Fleece,,,,,Kids,TRUE,selfkart-cloth-004,,5-6Y,KID-004-56Y,,FALSE,TRUE,300,,,,,in,,Cotton Fleece,28,32,2520,117,Size,5-6Y,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Cozy%20Fleece%20Hoodie%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Kids%20Cozy%20Fleece%20Hoodie%20back
,kids-everyday-joggers,Kids Everyday Joggers,Kids / Bottoms,"Pull-on joggers with elastic waist, side pockets, and durable knees for active days.",published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Everyday%20Joggers%20front,300,,,,,in,,Cotton Fleece,,,,,Kids,TRUE,selfkart-cloth-005,,6-7Y,KID-005-67Y,,FALSE,TRUE,300,,,,,in,,Cotton Fleece,24,28,2160,103,Size,6-7Y,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Everyday%20Joggers%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Kids%20Everyday%20Joggers%20back
,kids-denim-dungaree,Kids Denim Dungaree,Kids / Dresses & Sets,Classic denim dungaree with adjustable straps and roomy pockets for all-day comfort.,published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Denim%20Dungaree%20front,300,,,,,in,,Cotton Denim,,,,,Kids,TRUE,selfkart-cloth-006,,4-5Y,KID-006-45Y,,FALSE,TRUE,300,,,,,in,,Cotton Denim,36,42,3240,154,Size,4-5Y,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Denim%20Dungaree%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Kids%20Denim%20Dungaree%20back
,kids-floral-twirl-dress,Kids Floral Twirl Dress,Kids / Dresses,Lightweight floral dress with a gathered skirt made for parties and everyday twirling.,published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Floral%20Twirl%20Dress%20front,300,,,,,in,,Cotton Poplin,,,,,Kids,TRUE,selfkart-cloth-007,,5-6Y,KID-007-56Y,,FALSE,TRUE,300,,,,,in,,Cotton Poplin,30,35,2700,128,Size,5-6Y,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Floral%20Twirl%20Dress%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Kids%20Floral%20Twirl%20Dress%20back
,kids-striped-polo-shirt,Kids Striped Polo Shirt,Kids / Polos,Smart striped polo with soft collar and breathable pique texture for casual outings.,published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Striped%20Polo%20Shirt%20front,300,,,,,in,,Cotton Pique,,,,,Kids,TRUE,selfkart-cloth-008,,6-7Y,KID-008-67Y,,FALSE,TRUE,300,,,,,in,,Cotton Pique,20,24,1800,88,Size,6-7Y,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Striped%20Polo%20Shirt%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Kids%20Striped%20Polo%20Shirt%20back
,kids-rainy-day-windbreaker,Kids Rainy Day Windbreaker,Kids / Outerwear,Packable hooded windbreaker with light water resistance and bright contrast panels.,published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Rainy%20Day%20Windbreaker%20front,300,,,,,in,,Recycled Polyester,,,,,Kids,TRUE,selfkart-cloth-009,,7-8Y,KID-009-78Y,,FALSE,TRUE,300,,,,,in,,Recycled Polyester,38,45,3420,165,Size,7-8Y,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Rainy%20Day%20Windbreaker%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Kids%20Rainy%20Day%20Windbreaker%20back
,kids-soft-chino-shorts,Kids Soft Chino Shorts,Kids / Shorts,Easy pull-on chino shorts with an adjustable waist and soft brushed finish.,published,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Soft%20Chino%20Shorts%20front,300,,,,,in,,Cotton Twill,,,,,Kids,TRUE,selfkart-cloth-010,,5-6Y,KID-010-56Y,,FALSE,TRUE,300,,,,,in,,Cotton Twill,18,22,1620,81,Size,5-6Y,https://placehold.co/1000x1250/f3f4f6/111827.png?text=Kids%20Soft%20Chino%20Shorts%20front,https://placehold.co/1000x1250/e0f2fe/111827.png?text=Kids%20Soft%20Chino%20Shorts%20back
