Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Price INR,Variant Price AED,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,summer-beats-festival-2026,Summer Beats Festival 2026,Open-Air Music Experience,Three days of non-stop music across 5 open-air stages. Your digital pass is a collectible festival NFT.,published,https://images.unsplash.com/photo-1540575467063-178a50c2df87?w=800&q=80,0,,,,,,,,,,pcol_selfkart_ticket_live-entertainment,ptyp_selfkart_ticket_music-festivals,ticket-live-entertainment,TRUE,,,General Admission,SBEATS-GA,,FALSE,TRUE,0,,,,,,,,25,29,2250,106,Tier,General Admission,https://images.unsplash.com/photo-1540575467063-178a50c2df87?w=800&q=80,https://images.unsplash.com/photo-1506157786151-b8491531f063?w=800&q=80
,summer-beats-festival-2026,Summer Beats Festival 2026,Open-Air Music Experience,Three days of non-stop music across 5 open-air stages. Your digital pass is a collectible festival NFT.,published,https://images.unsplash.com/photo-1540575467063-178a50c2df87?w=800&q=80,0,,,,,,,,,,pcol_selfkart_ticket_live-entertainment,ptyp_selfkart_ticket_music-festivals,ticket-live-entertainment,TRUE,,,VIP Access,SBEATS-VIP,,FALSE,TRUE,0,,,,,,,,89,99,8010,363,Tier,VIP Access,https://images.unsplash.com/photo-1540575467063-178a50c2df87?w=800&q=80,https://images.unsplash.com/photo-1506157786151-b8491531f063?w=800&q=80
,jazz-under-stars,Jazz Under the Stars,An Evening of Live Jazz,Sip cocktails under the open sky while world-class jazz musicians perform classics and originals.,published,https://images.unsplash.com/photo-1506157786151-b8491531f063?w=800&q=80,0,,,,,,,,,,pcol_selfkart_ticket_live-entertainment,ptyp_selfkart_ticket_concerts,ticket-live-entertainment,TRUE,,,General Admission,JAZZ-GA,,FALSE,TRUE,0,,,,,,,,19,22,1710,81,Tier,General Admission,https://images.unsplash.com/photo-1506157786151-b8491531f063?w=800&q=80,https://images.unsplash.com/photo-1540575467063-178a50c2df87?w=800&q=80
,jazz-under-stars,Jazz Under the Stars,An Evening of Live Jazz,Sip cocktails under the open sky while world-class jazz musicians perform classics and originals.,published,https://images.unsplash.com/photo-1506157786151-b8491531f063?w=800&q=80,0,,,,,,,,,,pcol_selfkart_ticket_live-entertainment,ptyp_selfkart_ticket_concerts,ticket-live-entertainment,TRUE,,,VIP Access,JAZZ-VIP,,FALSE,TRUE,0,,,,,,,,59,69,5310,253,Tier,VIP Access,https://images.unsplash.com/photo-1506157786151-b8491531f063?w=800&q=80,https://images.unsplash.com/photo-1540575467063-178a50c2df87?w=800&q=80
,electronic-night-vol1,Electronic Music Night Vol.1,Underground Rave Experience,Lose yourself in pulsing beats from top electronic artists across 3 rooms. Limited to 500 attendees.,published,https://images.unsplash.com/photo-1540575467063-178a50c2df87?w=800&q=80,0,,,,,,,,,,pcol_selfkart_ticket_live-entertainment,ptyp_selfkart_ticket_concerts,ticket-live-entertainment,TRUE,,,General Admission,EDM-GA,,FALSE,TRUE,0,,,,,,,,15,18,1350,66,Tier,General Admission,https://images.unsplash.com/photo-1540575467063-178a50c2df87?w=800&q=80,https://images.unsplash.com/photo-1506157786151-b8491531f063?w=800&q=80
,electronic-night-vol1,Electronic Music Night Vol.1,Underground Rave Experience,Lose yourself in pulsing beats from top electronic artists across 3 rooms. Limited to 500 attendees.,published,https://images.unsplash.com/photo-1540575467063-178a50c2df87?w=800&q=80,0,,,,,,,,,,pcol_selfkart_ticket_live-entertainment,ptyp_selfkart_ticket_concerts,ticket-live-entertainment,TRUE,,,VIP Access,EDM-VIP,,FALSE,TRUE,0,,,,,,,,49,59,4410,217,Tier,VIP Access,https://images.unsplash.com/photo-1540575467063-178a50c2df87?w=800&q=80,https://images.unsplash.com/photo-1506157786151-b8491531f063?w=800&q=80
,indie-rock-showcase,Indie Rock Showcase,Live Band Night,Six rising indie bands compete for the crowd's vote. Raw energy and fresh sound guaranteed.,published,https://images.unsplash.com/photo-1506157786151-b8491531f063?w=800&q=80,0,,,,,,,,,,pcol_selfkart_ticket_live-entertainment,ptyp_selfkart_ticket_concerts,ticket-live-entertainment,TRUE,,,General Admission,INDIE-GA,,FALSE,TRUE,0,,,,,,,,12,14,1080,51,Tier,General Admission,https://images.unsplash.com/photo-1506157786151-b8491531f063?w=800&q=80,https://images.unsplash.com/photo-1540575467063-178a50c2df87?w=800&q=80
,indie-rock-showcase,Indie Rock Showcase,Live Band Night,Six rising indie bands compete for the crowd's vote. Raw energy and fresh sound guaranteed.,published,https://images.unsplash.com/photo-1506157786151-b8491531f063?w=800&q=80,0,,,,,,,,,,pcol_selfkart_ticket_live-entertainment,ptyp_selfkart_ticket_concerts,ticket-live-entertainment,TRUE,,,VIP Access,INDIE-VIP,,FALSE,TRUE,0,,,,,,,,35,42,3150,154,Tier,VIP Access,https://images.unsplash.com/photo-1506157786151-b8491531f063?w=800&q=80,https://images.unsplash.com/photo-1540575467063-178a50c2df87?w=800&q=80
,classical-symphony-eve,Classical Evening — Symphony Hall,An Evening of Mozart and Beethoven,The city's premier orchestra performs an all-classical programme in the grand concert hall.,published,https://images.unsplash.com/photo-1540575467063-178a50c2df87?w=800&q=80,0,,,,,,,,,,pcol_selfkart_ticket_live-entertainment,ptyp_selfkart_ticket_concerts,ticket-live-entertainment,TRUE,,,General Admission,CLASS-GA,,FALSE,TRUE,0,,,,,,,,39,45,3510,165,Tier,General Admission,https://images.unsplash.com/photo-1540575467063-178a50c2df87?w=800&q=80,https://images.unsplash.com/photo-1506157786151-b8491531f063?w=800&q=80
,classical-symphony-eve,Classical Evening — Symphony Hall,An Evening of Mozart and Beethoven,The city's premier orchestra performs an all-classical programme in the grand concert hall.,published,https://images.unsplash.com/photo-1540575467063-178a50c2df87?w=800&q=80,0,,,,,,,,,,pcol_selfkart_ticket_live-entertainment,ptyp_selfkart_ticket_concerts,ticket-live-entertainment,TRUE,,,VIP Access,CLASS-VIP,,FALSE,TRUE,0,,,,,,,,99,119,8910,437,Tier,VIP Access,https://images.unsplash.com/photo-1540575467063-178a50c2df87?w=800&q=80,https://images.unsplash.com/photo-1506157786151-b8491531f063?w=800&q=80
