Product Handle,Product Title,Product Description,Product Status,Product Thumbnail,Product Tag 1,Category Name,Parent Category Name,Variant Title,Variant Price INR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Rating,Product Review Count,Product Warranty,Product Returns Policy
bamboo-toothbrush-family-pack,Bamboo Toothbrush Family Pack,Soft-bristle bamboo toothbrushes for everyday oral care with compostable handles.,published,https://placehold.co/1000x1250.png?text=Bamboo+Toothbrush+Family+Pack,Personal Care,Oral Care,Personal Care,Pack of 4,499,6,Pack Size,Pack of 4,4.6,214,30-Day Quality Guarantee,Non-returnable (hygiene item)
bamboo-toothbrush-family-pack,Bamboo Toothbrush Family Pack,Soft-bristle bamboo toothbrushes for everyday oral care with compostable handles.,published,https://placehold.co/1000x1250.png?text=Bamboo+Toothbrush+Family+Pack,Personal Care,Oral Care,Personal Care,Pack of 8,899,10,Pack Size,Pack of 8,4.6,214,30-Day Quality Guarantee,Non-returnable (hygiene item)
bamboo-toothbrush-family-pack,Bamboo Toothbrush Family Pack,Soft-bristle bamboo toothbrushes for everyday oral care with compostable handles.,published,https://placehold.co/1000x1250.png?text=Bamboo+Toothbrush+Family+Pack,Personal Care,Oral Care,Personal Care,Pack of 12,1299,14,Pack Size,Pack of 12,4.6,214,30-Day Quality Guarantee,Non-returnable (hygiene item)
stainless-steel-insulated-bottle,Stainless Steel Insulated Bottle,"Double-wall insulated bottle that keeps drinks hot or cold during work, travel, and workouts.",published,https://placehold.co/1000x1250.png?text=Stainless+Steel+Insulated+Bottle,Reusable,Drinkware,Kitchen,500 ml,899,10,Capacity,500 ml,4.7,389,1 Year Warranty,10-day easy returns
stainless-steel-insulated-bottle,Stainless Steel Insulated Bottle,"Double-wall insulated bottle that keeps drinks hot or cold during work, travel, and workouts.",published,https://placehold.co/1000x1250.png?text=Stainless+Steel+Insulated+Bottle,Reusable,Drinkware,Kitchen,750 ml,1199,13,Capacity,750 ml,4.7,389,1 Year Warranty,10-day easy returns
stainless-steel-insulated-bottle,Stainless Steel Insulated Bottle,"Double-wall insulated bottle that keeps drinks hot or cold during work, travel, and workouts.",published,https://placehold.co/1000x1250.png?text=Stainless+Steel+Insulated+Bottle,Reusable,Drinkware,Kitchen,1 L,1499,17,Capacity,1 L,4.7,389,1 Year Warranty,10-day easy returns
organic-cotton-everyday-tote,Organic Cotton Everyday Tote,"Durable organic cotton tote bag for grocery runs, office carry, and daily errands.",published,https://placehold.co/1000x1250.png?text=Organic+Cotton+Everyday+Tote,Bags,Shopping Bags,Lifestyle,Natural,599,7,Color,Natural,4.5,156,6-Month Warranty,10-day easy returns
organic-cotton-everyday-tote,Organic Cotton Everyday Tote,"Durable organic cotton tote bag for grocery runs, office carry, and daily errands.",published,https://placehold.co/1000x1250.png?text=Organic+Cotton+Everyday+Tote,Bags,Shopping Bags,Lifestyle,Olive Green,649,7,Color,Olive Green,4.5,156,6-Month Warranty,10-day easy returns
organic-cotton-everyday-tote,Organic Cotton Everyday Tote,"Durable organic cotton tote bag for grocery runs, office carry, and daily errands.",published,https://placehold.co/1000x1250.png?text=Organic+Cotton+Everyday+Tote,Bags,Shopping Bags,Lifestyle,Charcoal,649,7,Color,Charcoal,4.5,156,6-Month Warranty,10-day easy returns
compostable-trash-bag-roll,Compostable Trash Bag Roll,Plant-based compostable trash bags designed for kitchen waste and daily home cleanup.,published,https://placehold.co/1000x1250.png?text=Compostable+Trash+Bag+Roll,Cleaning,Waste Management,Cleaning,Small 10 L,399,4,Size,Small 10 L,4.3,98,30-Day Quality Guarantee,7-day easy returns
compostable-trash-bag-roll,Compostable Trash Bag Roll,Plant-based compostable trash bags designed for kitchen waste and daily home cleanup.,published,https://placehold.co/1000x1250.png?text=Compostable+Trash+Bag+Roll,Cleaning,Waste Management,Cleaning,Medium 30 L,699,8,Size,Medium 30 L,4.3,98,30-Day Quality Guarantee,7-day easy returns
compostable-trash-bag-roll,Compostable Trash Bag Roll,Plant-based compostable trash bags designed for kitchen waste and daily home cleanup.,published,https://placehold.co/1000x1250.png?text=Compostable+Trash+Bag+Roll,Cleaning,Waste Management,Cleaning,Large 50 L,999,11,Size,Large 50 L,4.3,98,30-Day Quality Guarantee,7-day easy returns
beeswax-food-wrap-set,Beeswax Food Wrap Set,"Reusable beeswax wraps that replace plastic cling film for fruits, bowls, and lunch boxes.",published,https://placehold.co/1000x1250.png?text=Beeswax+Food+Wrap+Set,Kitchen,Food Storage,Kitchen,3-Piece Set,749,8,Set,3-Piece Set,4.6,172,6-Month Warranty,10-day easy returns
beeswax-food-wrap-set,Beeswax Food Wrap Set,"Reusable beeswax wraps that replace plastic cling film for fruits, bowls, and lunch boxes.",published,https://placehold.co/1000x1250.png?text=Beeswax+Food+Wrap+Set,Kitchen,Food Storage,Kitchen,6-Piece Set,1299,14,Set,6-Piece Set,4.6,172,6-Month Warranty,10-day easy returns
beeswax-food-wrap-set,Beeswax Food Wrap Set,"Reusable beeswax wraps that replace plastic cling film for fruits, bowls, and lunch boxes.",published,https://placehold.co/1000x1250.png?text=Beeswax+Food+Wrap+Set,Kitchen,Food Storage,Kitchen,Starter Bundle,1699,19,Set,Starter Bundle,4.6,172,6-Month Warranty,10-day easy returns
recycled-paper-notebook,Recycled Paper Notebook,"Minimal recycled paper notebook for notes, journaling, planning, and study.",published,https://placehold.co/1000x1250.png?text=Recycled+Paper+Notebook,Stationery,Notebooks,Office,A5 Ruled,349,4,Format,A5 Ruled,4.4,64,30-Day Quality Guarantee,7-day easy returns
recycled-paper-notebook,Recycled Paper Notebook,"Minimal recycled paper notebook for notes, journaling, planning, and study.",published,https://placehold.co/1000x1250.png?text=Recycled+Paper+Notebook,Stationery,Notebooks,Office,A5 Dotted,379,4,Format,A5 Dotted,4.4,64,30-Day Quality Guarantee,7-day easy returns
recycled-paper-notebook,Recycled Paper Notebook,"Minimal recycled paper notebook for notes, journaling, planning, and study.",published,https://placehold.co/1000x1250.png?text=Recycled+Paper+Notebook,Stationery,Notebooks,Office,A4 Plain,549,6,Format,A4 Plain,4.4,64,30-Day Quality Guarantee,7-day easy returns
coconut-coir-dish-scrubber,Coconut Coir Dish Scrubber,"Plastic-free coconut coir scrubber for dishes, pans, sinks, and kitchen surfaces.",published,https://placehold.co/1000x1250.png?text=Coconut+Coir+Dish+Scrubber,Cleaning,Kitchen Cleaning,Cleaning,Pack of 2,249,3,Pack Size,Pack of 2,4.2,88,30-Day Quality Guarantee,Non-returnable (hygiene item)
coconut-coir-dish-scrubber,Coconut Coir Dish Scrubber,"Plastic-free coconut coir scrubber for dishes, pans, sinks, and kitchen surfaces.",published,https://placehold.co/1000x1250.png?text=Coconut+Coir+Dish+Scrubber,Cleaning,Kitchen Cleaning,Cleaning,Pack of 4,449,5,Pack Size,Pack of 4,4.2,88,30-Day Quality Guarantee,Non-returnable (hygiene item)
